Online_from_2007
284567.75
330409.3333
325230.4
351102
328161.75
348647
348852
376995
406830.2941
447525.375
471691
451181.1538
619084.2
1287360.667
1310829.444
1264873.5
1194256.75
1184089
1127040.296
1141508.75
1252276.955
1229038.889
1318385.4
1457488
1499899
1612357.25
1795401.778
1751526
1713301.6
1758126.833
1690678.857
1711878.556
1758341
1611047
2076024.5
2218626.4
2500341.4
2424294
2460876.6
2389362
2403209.875
2329262.5
2301538.778
2304335.571
2512521
2714560.429
2938975.75
3041999.375
3255315.5
3166184.167
3465319.667
3075631.25
3207731.571
3248141.222
3495015.778
3544217.3
3803470.833
3870268.364
4290799.667
4443216.25
4762842.75
4672461.5
4657414.143
4704582.778
4739213.692
4651748.556
4664612.167
4280736.857
4620322.7
5042592.357
5233978.875
5477139.167
6181976.385
5793376.429
5293933.875
5348346.25
4924300.889
5088375.5
5191392.333
5306676.077
6041896.143
6148143.4
6452441.417
7032227.375
7023865.067
6924177.333
6728669.571
6431758
6449537.5
6997366.615
6821412.333
6583346.364
6940300.733
7000674.143
7347300.571
7395900.5
8056365
8148644.3
8580599.294
8507592.65
8645723.71
9179937.733
8848913.774
9055602.452
9510646.867
9898330.516
10409580.37
10659995.6
11425999.35
11464652.38
11353008.23
11569875.93
11260826.35
11415348.67
11173017.23
10959825.52
11271203.4
11684002.61
12137568.73
12535796.13
13024870.1
12695770.18
12251143.31
12424615.27
12416278.87
12822262.43
12817763.68
12970997.84
13795173.83
14891596.55
15217726.57
16246413.68
16850251.45
16134370.09
16452613.1
15802067.33
15291915.19
15509585
14878393.48
14591475.74
14803638.23
14544460.45
14523036.97
15455809.71
15733693.1
15407435.68
15353189.97
15329432.3
15338828.48
15332248.2
15118306.55
14924747.19
14797209.2
14805565.48
14801252.83
15805190.45
16265411.61
17046966.38
19827016.94
23592347.47
22500444.76
